step,observe/obs_s_theta_mean_mean,episode/success_rate,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_delta_s_mean_mean,observe/obs_step_entropy_mean_mean,val/success_rate
0,,,,,,,0.1484375
1,2.4936029552805663,0.1796875,5.823703933755219,7.0865378229392935,-0.0049479447428021,0.6043867736816932,
2,1.947875758363792,0.1953125,4.01140417828751,4.815608339525921,-0.0398223634034605,0.5545959644748465,
3,2.168750389452337,0.359375,3.8641927988473546,4.702460022787342,-0.0751714315044579,0.5483559698581563,
4,2.2123020080762643,0.34375,3.6270627130686894,4.504637333117181,-0.0944754169781311,0.5628096077309334,
5,2.0694592993189818,0.421875,3.662399373060141,4.509175435958528,-0.1234284396379656,0.5339145821972603,
6,1.9014362628618613,0.40625,3.871027425636145,4.668832361502083,-0.1260149279186308,0.537120846676101,
7,1.8950685872712163,0.21875,4.096691970612896,4.9265983118040655,-0.1692158598041602,0.5305819790466392,
8,2.0171767073760587,0.265625,3.8149347479505065,4.672923598316542,-0.1885025015758623,0.5373920078771854,
9,2.1679914750496807,0.3671875,4.139871425321326,5.025101326848381,-0.2313991413676439,0.5500604698579992,
10,1.929872810261668,0.4296875,4.271699021104723,5.177676612325013,-0.2191698436340655,0.5568228356336477,0.3046875
11,1.893745719711784,0.3671875,3.9053232802049034,4.782815127458889,-0.2579432904802081,0.5729525054426631,
12,1.9749536359731408,0.3359375,3.996885267551989,4.837454496696592,-0.2952706728186307,0.577615474659251,
13,2.1357186584700085,0.3984375,3.98538226459641,4.921540494714129,-0.3106114994223294,0.5628750759152401,
14,1.6981593300270812,0.3515625,3.735145341034513,4.621813624200877,-0.260163130764135,0.6035527789499611,
15,1.9124945660496564,0.4140625,3.792495624064223,4.711888512798683,-0.303432186103664,0.5705952959496675,
16,1.9982145393933868,0.5390625,3.8150476911650912,4.716448068007594,-0.3257403461659073,0.5958157615277742,
17,1.840593711206385,0.3046875,3.4823382382746786,4.4065291642521816,-0.3115013775716372,0.5731156198501898,
18,1.8334571496771757,0.4140625,3.4172309689747635,4.228545426306988,-0.3118072638762572,0.5848609273638835,
19,1.8266306722676144,0.3359375,3.512086599049508,4.393010631809011,-0.3138278575051895,0.5903177628133562,
20,1.9216490621095184,0.4140625,3.578214694809867,4.516998353495728,-0.3156199504514016,0.6016700290580047,0.46875
21,1.868349685118324,0.484375,3.528134525750324,4.445643397229206,-0.3271606329873658,0.601546383412723,
22,1.7216559494781951,0.5625,3.4300197935663164,4.283223144230707,-0.3293565263771157,0.5788727089221699,
23,1.766409292057246,0.359375,3.480019948264817,4.384571939834859,-0.3355213374497218,0.5819132048942265,
24,1.8470731433216845,0.5234375,3.3053063934340194,4.0799552114023,-0.3368433898859393,0.5678838701158597,
25,1.963550488551124,0.453125,3.31355014667497,4.166536366980937,-0.3613303343607917,0.5833257519795249,
26,1.8785411624946424,0.53125,3.3108728203977296,4.157206718330546,-0.3638602856264104,0.59525474890731,
27,1.777805448581662,0.5,3.159408972770001,4.028698004445889,-0.3332048786082092,0.5579471327251263,
28,1.7791554782855297,0.484375,3.102461399390664,4.025977844523047,-0.3430585022879661,0.5820258678012418,
29,1.9146299675662264,0.359375,3.2910965678717106,4.175885795958732,-0.3538508102148837,0.5426924006345584,
30,1.8585272414751928,0.421875,3.1161915665628235,4.033053380644156,-0.3626643337079163,0.5925247121809257,0.546875
31,1.843864474803098,0.6015625,2.8304321838038358,3.793776931256677,-0.3794459753528657,0.5549917095651229,
32,1.796855174284948,0.609375,2.8775156148476526,3.791824785076703,-0.3581347773174724,0.5702772320888471,
33,2.024434814196535,0.53125,2.8312730391557768,3.7613093547577807,-0.4233302257857457,0.5660942982820629,
