step,observe/obs_s_theta_mean_mean,episode/success_rate,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_delta_s_mean_mean,observe/obs_step_entropy_mean_mean,val/success_rate
0,,,,,,,0.156
1,2.499,0.164,5.732,6.905,-0.005,0.601,
2,2.096,0.172,3.707,4.584,-0.035,0.554,
3,1.915,0.406,3.828,4.685,-0.05,0.544,
4,2.082,0.203,3.521,4.402,-0.078,0.549,
5,2.066,,3.513,4.34,-0.11,0.546,0.344
6,2.044,0.281,3.915,4.714,-0.162,0.557,
7,1.879,0.148,3.747,4.586,-0.173,0.552,
8,2.04,0.211,3.693,4.509,-0.196,0.547,
9,1.936,0.141,3.909,4.8,-0.219,0.572,
10,2.013,,3.605,4.476,-0.216,0.545,0.461
11,2.095,0.414,3.629,4.494,-0.257,0.544,
12,1.806,0.266,3.447,4.304,-0.233,0.529,
13,1.96,0.242,3.536,4.357,-0.259,0.576,
14,2.011,0.359,3.551,4.334,-0.271,0.602,
15,1.914,,3.592,4.347,-0.275,0.58,0.391
16,2.082,0.398,3.41,4.148,-0.333,0.566,
17,1.825,0.266,3.313,4.124,-0.306,0.588,
18,1.815,0.195,3.177,3.906,-0.294,0.594,
19,1.771,0.398,3.71,4.412,-0.306,0.573,
20,2.048,,3.299,4.186,-0.332,0.597,0.398
21,1.874,0.523,3.44,4.252,-0.33,0.543,
22,1.842,0.57,3.587,4.356,-0.313,0.528,
23,1.982,0.445,3.786,4.645,-0.332,0.58,
24,1.908,0.375,3.553,4.255,-0.348,0.558,
25,1.787,,3.349,4.032,-0.299,0.555,0.516
26,1.672,0.523,3.339,4.022,-0.288,0.591,
27,2.017,0.32,2.991,3.743,-0.369,0.578,
28,1.933,0.312,3.196,3.903,-0.349,0.585,
29,1.862,0.5,3.178,3.905,-0.349,0.557,
30,1.85,,3.145,3.944,-0.335,0.601,0.531
31,1.599,0.609,3.321,4.064,-0.304,0.573,
32,1.817,0.57,3.238,4.032,-0.357,0.577,
33,1.883,0.398,3.091,3.863,-0.389,0.613,
34,1.741,0.562,3.193,4.006,-0.356,0.602,
35,1.762,,3.294,4.042,-0.346,0.591,0.617
36,1.81,0.453,2.919,3.796,-0.359,0.591,
37,1.624,0.641,3.126,3.926,-0.327,0.569,
38,1.787,0.75,3.007,3.767,-0.379,0.587,
39,1.796,0.344,3.303,4.03,-0.399,0.648,
40,1.702,,3.178,3.938,-0.382,0.596,0.633
41,1.674,0.594,3.118,3.89,-0.36,0.67,
42,1.81,0.523,3.241,4.004,-0.389,0.647,
43,1.728,0.508,3.181,3.987,-0.385,0.636,
44,1.805,0.516,3.046,3.808,-0.392,0.717,
45,1.909,,2.989,3.769,-0.418,0.64,0.578
46,1.889,0.602,3.234,4.037,-0.413,0.625,
47,1.736,0.617,3.35,4.157,-0.38,0.694,
48,1.951,0.562,3.123,3.906,-0.395,0.737,
49,1.869,0.672,3.291,4.083,-0.377,0.731,
50,1.836,,3.116,3.889,-0.385,0.654,0.617
51,1.839,0.43,3.138,3.956,-0.366,0.732,
52,1.778,0.617,2.945,3.76,-0.359,0.653,
53,1.666,0.688,3.32,4.135,-0.318,0.603,
54,1.843,0.594,3.183,3.97,-0.34,0.565,
55,1.807,,3.126,3.935,-0.323,0.577,0.641
56,1.81,0.672,3.307,4.09,-0.342,0.635,
57,1.85,0.523,3.015,3.898,-0.357,0.601,
58,1.618,0.648,3.154,3.924,-0.306,0.57,
59,1.66,0.648,3.2,3.984,-0.314,0.603,
60,1.714,,3.112,3.899,-0.32,0.622,0.758
61,1.858,0.828,3.069,3.842,-0.312,0.485,
62,1.863,0.57,3.241,4.079,-0.31,0.681,
63,1.876,0.703,3.166,3.988,-0.312,0.563,
64,1.854,0.852,3.207,3.998,-0.271,0.472,
65,2.052,,3.195,4.024,-0.293,0.59,0.711
66,1.959,0.641,3.337,4.18,-0.289,0.602,
67,1.93,0.781,3.358,4.166,-0.252,0.588,
68,1.995,0.797,3.275,4.086,-0.246,0.543,
69,1.801,0.648,3.232,4.007,-0.263,0.751,
70,1.799,,3.25,4.011,-0.239,0.549,0.648
71,1.833,0.711,3.024,3.849,-0.276,0.607,
72,1.898,0.75,3.236,4.048,-0.269,0.608,
73,1.888,0.797,3.25,4.015,-0.266,0.641,
74,1.71,0.844,3.137,3.895,-0.237,0.577,
75,1.687,,3.162,4.001,-0.216,0.581,0.695
76,1.98,0.609,3.451,4.286,-0.267,0.833,
77,1.827,0.602,3.405,4.182,-0.265,0.952,
78,1.898,0.758,3.211,4.02,-0.264,0.707,
79,2.007,0.852,3.158,3.829,-0.275,0.558,
80,1.99,,3.334,4.078,-0.307,0.936,0.664
81,1.966,0.68,3.365,4.084,-0.297,0.804,
82,1.923,0.703,3.34,4.026,-0.273,0.902,
83,1.89,0.805,3.116,3.869,-0.271,0.758,
84,1.853,0.641,3.224,3.934,-0.292,1.088,
85,1.927,,3.287,4.002,-0.298,1.111,0.773
86,2.015,0.859,3.09,3.845,-0.292,0.82,
87,2.016,0.844,2.983,3.717,-0.284,0.764,
88,1.961,0.641,3.404,4.097,-0.291,1.075,
89,1.785,0.875,3.063,3.708,-0.204,0.727,
90,1.97,,3.217,3.954,-0.299,1.058,0.695
91,1.725,0.742,3.415,4.127,-0.226,1.204,
92,1.81,0.805,3.149,3.885,-0.249,0.931,
93,1.726,0.688,3.468,4.147,-0.24,1.128,
94,1.976,0.742,3.204,3.917,-0.284,0.927,
95,1.924,,3.423,4.093,-0.277,1.036,0.82
96,1.865,0.852,3.236,3.921,-0.224,0.787,
97,1.993,0.641,3.36,4.056,-0.283,1.042,
98,1.979,0.805,3.131,3.819,-0.259,0.786,
99,1.889,0.711,3.298,3.975,-0.236,1.038,
100,2.081,,3.445,4.091,-0.245,0.951,0.789
101,1.807,0.703,3.493,4.107,-0.218,1.007,
102,1.983,0.742,3.281,3.944,-0.229,0.988,
103,1.915,0.695,3.292,3.978,-0.236,0.872,
104,1.95,0.773,3.151,3.806,-0.215,0.761,
105,1.909,,2.902,3.583,-0.191,0.502,0.727
106,1.921,0.867,3.251,3.873,-0.177,0.7,
107,1.989,0.703,3.084,3.796,-0.193,0.982,
108,1.958,0.695,3.021,3.76,-0.169,0.788,
109,1.944,0.648,3.26,3.924,-0.175,0.984,
110,1.881,,3.042,3.772,-0.126,0.924,0.797
111,2.113,0.844,2.926,3.598,-0.127,0.741,
112,1.96,0.742,3.183,3.897,-0.13,0.908,
113,1.985,0.742,3.376,3.996,-0.147,1.021,
114,1.962,0.617,3.454,4.141,-0.121,1.134,
115,1.777,,3.459,4.08,-0.114,1.137,0.781
116,1.929,0.758,3.213,3.924,-0.121,1.066,
117,1.866,0.781,3.152,3.791,-0.129,0.942,
118,2.068,0.836,3.062,3.705,-0.112,0.764,
119,1.968,0.836,3.247,3.957,-0.103,0.779,
120,2.016,,3.33,4.004,-0.104,0.767,0.781
121,1.812,0.875,3.121,3.743,-0.098,0.753,
122,2.081,0.852,3.034,3.71,-0.133,0.777,
123,2.214,0.812,3.545,4.269,-0.117,0.878,
124,1.953,0.898,3.392,4.081,-0.079,0.546,
125,2.055,,3.201,3.884,-0.097,0.555,0.867
126,2.035,0.922,3.452,4.099,-0.05,0.497,
127,2.063,0.797,3.424,4.084,-0.108,0.754,
128,2.127,0.914,3.307,3.93,-0.082,0.329,
129,2.065,0.758,3.56,4.291,-0.097,0.647,
130,1.975,,3.24,3.933,-0.054,0.383,0.844
131,2.402,0.836,3.561,4.302,-0.082,0.6,
132,1.864,0.906,3.118,3.783,-0.05,0.445,
133,2.259,0.797,3.977,4.724,-0.061,0.704,
134,2.219,0.82,3.713,4.42,-0.06,0.678,
135,1.858,,3.734,4.521,-0.074,0.93,0.859
136,2.095,0.859,3.494,4.354,-0.031,0.806,
137,2.082,0.922,3.346,4.161,-0.038,0.643,
138,2.091,0.82,3.707,4.498,-0.05,0.968,
139,2.185,0.852,3.657,4.456,-0.048,0.855,
140,2.172,,3.716,4.505,-0.022,0.855,0.875
141,1.931,0.797,3.729,4.619,-0.012,0.97,
142,2.041,0.742,3.708,4.685,-0.043,1.252,
143,2.171,0.875,3.381,4.188,-0.018,0.858,
144,1.875,0.852,3.426,4.259,-0.008,0.997,
145,2.071,,3.924,4.859,-0.042,0.974,0.75
146,2.127,0.977,3.19,3.936,0.03,0.242,
147,2.221,0.758,3.887,4.844,-0.038,1.083,
148,1.977,0.562,4.246,5.373,-0.026,1.686,
149,2.148,0.719,3.998,5.042,0.003,1.306,
150,2.336,,3.825,4.689,0.047,0.817,0.797
