_step,observe/obs_s_theta_mean_mean,observe/obs_s_ref_mean_mean,observe/obs_delta_s_mean_mean,observe/obs_delta_s_mean_std,observe/obs_consecutive_s_mean,observe/obs_consecutive_s_std,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_step_entropy_mean_mean,observe/success_s_theta_mean,observe/failure_s_theta_mean,episode/success_rate,episode/reward/mean,val/success_rate
5,2.066265955066471,2.176414666366616,-0.11014871130014504,0.02659928640191561,0.000625961422074083,0.2354946325550864,3.5132418488032675,4.33984837705955,0.5460249406977609,2.0013621561345816,2.0865934771599863,0.453125,4.53125,0.34375
10,2.012548735440904,2.2290214998382076,-0.21647276439730354,0.043644292684826766,0.0017965724736745828,0.22629218487272448,3.6050856015897437,4.476419850594802,0.5451596512666802,1.9604631649849984,2.0247173568711507,0.328125,3.28125,0.4609375
15,1.9135436788122464,2.1890032281294425,-0.2754595493171957,0.07206198411767772,0.0026808959819248205,0.17039476208976495,3.5923268137839695,4.347420149689747,0.5802051506027401,1.8810324499477895,1.931141499940714,0.59375,5.9375,0.390625
20,2.0477077917919444,2.3794098675700472,-0.3317020757781024,0.06244342819756866,0.0019509014814984701,0.17543104489258482,3.2990192902172732,4.185691632437466,0.5965707988194565,1.8332087205512715,2.077948644458663,0.2421875,2.421875,0.3984375
25,1.787092041865726,2.086158456080228,-0.2990664142145026,0.0742288854733083,0.003550170748855942,0.19209783118028542,3.3492005184764424,4.0318066603086224,0.5551910909841984,1.7935835911011557,1.7853083577550715,0.390625,3.90625,0.515625
30,1.8498207649187055,2.1851411456353205,-0.3353203807166152,0.06695551767335836,0.0027394591264550796,0.1922932739496107,3.145372542771785,3.943817834938219,0.6012459777086727,1.8740443664508613,1.8392059282922553,0.53125,5.3125,0.53125
35,1.7618969890360534,2.1076747852518976,-0.34577779621584404,0.07262520457197391,0.00307583800984497,0.18014511091204805,3.2944803343021443,4.04188509875842,0.5905115360572901,1.8533145028343785,1.7267146691971307,0.6015625,6.015625,0.6171875
40,1.7018365333646992,2.083833035101772,-0.3819965017370725,0.08036319891478058,0.003794869036492905,0.18052057847468814,3.178082649762343,3.938371509906243,0.5955218893510604,1.699993549767454,1.7023319182451127,0.3984375,3.984375,0.6328125
45,1.909337122565183,2.326876182329323,-0.41753905976414013,0.08886911088502998,0.003813383878372672,0.1563540624286242,2.989350035151636,3.7694940404881807,0.6402269388706896,1.7587214726246523,1.9961983316574263,0.5859375,5.859375,0.578125
50,1.836138577606485,2.2210435649157962,-0.38490498730931183,0.10073144948844656,0.0035261824192865656,0.1760092000098321,3.116206244558155,3.8889461983409195,0.6541442435725855,1.8868447178675138,1.8058755465675256,0.609375,6.09375,0.6171875
55,1.8068565118071473,2.1299032323322526,-0.3230467205251054,0.09831265203929081,0.002656054823720182,0.21508732171375877,3.126244537012938,3.9346402294468135,0.5770670780472685,1.6520884677250107,1.906568729931212,0.6875,6.875,0.640625
60,1.7141108779516745,2.0342610687314737,-0.3201501907797995,0.090661378335408,0.004194985921706295,0.16687270078617883,3.1120591029680025,3.8988844332285226,0.6222744005082252,1.6798406973906468,1.7378642835257199,0.6484375,6.484375,0.7578125
