_step,observe/obs_s_theta_mean_mean,observe/obs_s_theta_mean_std,observe/obs_s_ref_mean_mean,observe/obs_s_ref_mean_std,observe/obs_delta_s_mean_mean,observe/obs_delta_s_mean_std,observe/obs_delta_s_sum_mean,observe/obs_delta_s_sum_std,observe/obs_consecutive_s_mean,observe/obs_consecutive_s_std,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_step_entropy_mean_mean,observe/obs_step_entropy_mean_std,observe/success_s_theta_mean,observe/failure_s_theta_mean,observe/success_entropy_mean,observe/failure_entropy_mean,observe/obs_n_tokens_mean,episode/success_rate,episode/reward/mean,episode/webshop_task_score (not success_rate),val/success_rate,val/webshop_task_score (not success_rate),actor/entropy_loss,actor/kl_loss,actor/ppo_kl
20,2.3698583901694956,0.6274101960708772,2.482223172526621,0.7202399747538796,-0.11236478235712559,0.1071312342391099,-88.74359937814566,13.487526117289137,-0.08097032924096959,0.6986756048498851,2.8325288759437033,3.821702634342588,0.6318824716772025,0.14594160919569216,2.541123540521795,2.360753154327981,0.5556855442978087,0.6359334475631955,1146.5120192307693,0.125,1.25,0.18125000000000002,0.0625,0.17180059523809524,0.6379466652870178,0.0645173117518425,0.006616549687280964
40,2.2094746207326383,0.6772032686533374,2.396212147047946,0.8229411573800873,-0.18673752631530813,0.175854684711257,-158.5451774597168,15.392077273039156,-0.09648197861272952,0.8436529876527704,3.0189305205713026,3.9184830295853317,0.801732526315997,0.20310806742473153,2.320195807918731,2.17894352924943,0.7682507016572607,0.8109650560391701,1184.6979166666667,0.3125,3.125,0.4416396103896104,0.125,0.2650148809523809,0.8043538928031921,0.13698604702949524,0.005308831860475038
60,2.2536666418043447,0.7015175854600987,2.3949556771271316,0.8359410004840692,-0.141289035322787,0.16501576166165327,-103.4592173506574,21.56961275701947,-0.09738942082183781,0.7487314418202285,2.5775459683159503,3.2909515316529974,0.7585528270318741,0.18993118514250404,2.3822421196687547,2.233221777832972,0.6878522555033366,0.7697949673809348,1144.7926829268292,0.1875,1.875,0.3380208333333333,0.25,0.4222718253968254,0.773512065410614,0.23737697303295135,0.002465304193786479
80,2.1868833130306546,0.7031548741415856,2.3335659384973106,0.8386227875233832,-0.1466826254666562,0.1723221308567059,-110.49853086471558,28.84584982245471,-0.0902461016096946,0.8205619017841035,2.6797400578119173,3.550978934702774,0.8078696590382606,0.23039832101067256,2.0593584454155485,2.192427872492181,0.5655795205384493,0.8184040128860784,1171.3854166666667,0.09375,0.9375,0.16574810606060605,0.46875,0.6654626623376623,0.8352546691894531,0.19742588698863983,0.005286781620564322
100,2.068452380206453,0.7759272091247745,2.229486898768988,0.9296027358345623,-0.161034518562535,0.19579120184445462,-111.35175500914107,34.88748817207019,-0.12208478587348176,0.8448187434555844,1.983789896928207,2.8980186160567194,0.7950685736398364,0.2329210382474091,1.8733568606095479,2.1182943012713564,0.6896807525839125,0.821992469530036,1153.375,0.28125,2.8125,0.4822916666666667,0.5625,0.7074255952380952,0.810250461101532,0.3959123492240906,0.00472501620978894
120,2.0907729561018606,0.7038012414209163,2.2765361823561685,0.8953323826245607,-0.18576322625430786,0.22907149194887252,-129.80742217273246,37.51193949240339,-0.1318537775425973,0.8422159035450261,2.345288183301596,3.2548387530373364,0.6965226106254793,0.22927627367901315,2.0797074792884724,2.0937209016621847,0.641756603035374,0.7111127825317235,1164.7439024390244,0.3125,3.125,0.5073051948051948,0.5625,0.7603206168831169,0.7135719060897827,0.3499859869480133,0.00482638681493948
140,2.2864898213867173,0.7727226022544857,2.4442622433391286,0.9431849665446395,-0.15777242195241134,0.22394774402598022,-101.24753711098118,33.64306505497976,-0.1302028038320471,0.8648885321654501,2.776977004814207,3.580493537022879,0.77185039310471,0.23253197824039343,2.286365836953347,2.286647115070844,0.7521975433125215,0.7967831129903225,1164.2105263157894,0.65625,6.5625,0.7618055555555556,0.3125,0.6180059523809525,0.7876994013786316,0.4462398290634155,0.0018263694154436387
160,2.1017983494913137,0.8541501304124931,2.26068342713529,1.031193326130458,-0.1588850776439759,0.22602667445884392,-96.90995881051728,46.82604994510274,-0.1969817075052209,0.8961853135159011,1.9516486687952597,2.7606598391677393,0.826895031457146,0.2874637618920922,2.1109708900701896,2.090621724416213,0.7776205181047834,0.8869354048696887,1134.7878787878788,0.65625,6.5625,0.7553661616161617,0.375,0.6911471861471861,0.8543878197669983,0.38883087038993835,0.0029361079668336915
180,2.1944958094581493,0.7028802540913535,2.376419794190722,0.8776343168501546,-0.18192398473257304,0.2207379894209756,-130.76853615897042,34.662307693163065,-0.13286962154116738,0.823330549032893,2.778498856971661,3.627434088005906,0.782990575989797,0.26732487826751145,2.2546818511772866,2.181676399850102,0.6633727452007391,0.8084687421145422,1138.2142857142858,0.25,2.5,0.46056547619047616,0.5,0.6782208243145743,0.8100045323371887,0.35566988587379456,0.003981649084467097
200,2.141428748300665,0.7750541217025891,2.3494026516457978,0.9831872898216296,-0.20797390334513283,0.2681046441289623,-125.158445296749,51.702334144866754,-0.19149854399670033,0.8174431103678019,1.873171599101155,2.621955607446932,0.7361877785935518,0.27638260141071647,2.086260682055828,2.191504377661362,0.7078526924222203,0.761907318349068,1109.3870967741937,0.4375,4.375,0.6835813492063492,0.71875,0.7922077922077922,0.7795639634132385,0.3105214834213257,0.002654381052707322
